Artist,Title,Year (Approximate),Movement,Total Height (cm),Total Width (cm),Total Height (in),Total Width (in),Media,Location,"City, State",Country,Date of Birth,Date of Death,Image
Georges Seurat,A Sunday Afternoon on the Island of La Grande Jatte,1886,"Post-Impressionist, Neo-Impressionist, Pointillist",207.60,308.00,81.73,121.26,oil paint,Art Institute of Chicago,"Chicago, IL",USA,12/2/1859,3/29/1891,Images\A Sunday Afternoon on the Island of La Grande Jatte.jpg
Giacomo Balla,Abstract Speed and Sound,1914,Futurism,54.61,76.52,21.50,30.13,oil paint,Guggenheim Museum,"Manhattan, NY",USA,7/18/1871,3/1/1958,Images\Abstract Speed and Sound.jpg
Lucas Cranach the Elder,Adam and Eve in Paradise,1531,German Renaissance,50.40,35.50,19.84,13.98,oil paint,Gemäldegalerie,Berlin,Germany,10/4/1472,10/16/1553,Images\Adam and Eve in Paradise.jpg
Hugo van der Goes,Adoration of the Kings,1470,Northern Renaissance,147.00,242.00,57.87,95.28,oil paint,Gemaldegalerie,Berlin,Germany,1440,1483,Images\Adoration of the Kings.jpg
Grant Wood,American Gothic,1930,Regionalist,74.30,62.40,29.25,24.57,oil paint,Art Institute of Chicago,"Chicago, IL",USA,2/13/1891,2/12/1942,Images\American Gothic.jpg
Kazimir Malevich,An Englishman in Moscow,1914,Suprematist,88.00,57.00,34.65,22.44,oil paint,Stedelijk Museum,Amsterdam,Netherlands,2/23/1879,5/15/1935,Images\An Englishman in Moscow.jpg
Joseph Wright of Derby,An Experiment on a Bird in the Air Pump,1768,,183.00,244.00,72.05,96.06,oil paint,National Gallery,"London, England",United Kingdom,9/3/1734,8/29/1797,Images\An Experiment on a Bird in the Air Pump.jpg
Piet Mondrian,Apple Tree in Bloom,1912,De Stijl,78.50,107.50,30.91,42.32,oil paint,Gemeentemuseum Den Haag,The Hague,Netherlands,3/7/1872,2/1/1944,Images\Apple Tree in Bloom.jpg
Edvard Munch,Ashes,1894,Expressionist,120.50,141.00,47.44,55.51,oil paint,National Gallery,Oslo,Norway,12/12/1863,1/23/1944,Images\Ashes.jpg
Jean Metzinger,At the Cycle-Race Track,1914,"Neo-Impresionist, Divisionist, Fauvist, Cubist",130.40,97.10,51.34,38.23,oil paint and collage,Peggy Guggenheim Collection,Venice,Italy,,,Images\At the Cycle-Race Track.jpg
Max Ernst,Attirement of the Bride,1939,"Dada, Surrealist",129.60,96.30,51.02,37.91,oil paint,Peggy Guggenheim Collection,Venice,Italy,4/2/1891,4/1/1976,Images\Attirement of the Bride.jpg
Jackson Pollock,Autumn Rhythm,1950,Abstract Expressionist,105.00,207.00,41.34,81.50,enamel,Metropolitan Museum of Art,"New York City, NY",USA,1/28/1912,8/11/1956,Images\Autumn Rhythm.jpg
Titian,Bacchanal of the Andrians,1524,High Renaissance,175.00,193.00,68.90,75.98,oil paint,Museo del Prado,Madrid,Spain,1488,8/27/1576,Images\Bacchanal of the Andrians.jpg
Jacopo Tintoretto,"Bacchus, Venus and Ariadne",1576,Renaissance,146.00,167.00,57.48,65.75,oil paint,Palazzo Ducale,Venice,Italy,9/29/1518,5/31/1594,"Images\Bacchus, Venus and Ariadne.jpg"
Oskar Schlemmer,Banister Scene I,1931,Bauhaus,,,0.00,0.00,watercolor,"Forberg Collection, Albertina",Vienna,Austria,11/4/1888,4/13/1943,Images\Banister Scene I.jpg
Joachim Patinir,Baptism of Christ,1515,Northern Renaissance,59.50,77.00,23.43,30.31,oil paint,Kunthistorisches Museum,Vienna,Austria,1480,10/5/1524,Images\Baptism of Christ.jpg
Henri Matisse,Bathers by a River,1917,Cubist,260.00,390.00,102.36,153.54,oil paint,Art Institute of Chicago,"Chicago, IL",USA,12/31/1869,11/3/1954,Images\Bathers by a River.jpg
Sebastiano Ricci,Bathsheba in her Bath,1720,Baroque,118.50,199.00,46.65,78.35,oil paint,Szépmuveszeti Muzeum,Budapest,Hungary,8/1/1659,5/15/1734,Images\Bathsheba in her Bath.jpg
Morris Louis,Beta Kappa,1961,"Abstract Expressionist, Color Field",262.30,439.40,103.27,172.99,acrylic paint,National Gallery of Art,"Washington, D.C.",USA,11/28/1912,11/7/1962,Images\Beta Kappa.jpg
Lyonel Feininger,Bird Cloud,1926,Expressionist,43.80,71.10,17.24,27.99,oil paint,Harvard Art Museum,"Cambridge, MA",USA,7/17/1871,1/13/1956,Images\Bird Cloud.jpg
Henri Matisse,Blue Nude II,1907,Fauvist,116.20,88.90,45.75,35.00,gouache-painted paper,Pompidou Centre,Paris,France,12/31/1869,11/3/1954,Images\Blue Nude II.jpg
Juan Gris,Breakfast,1915,Cubist,92.00,73.00,36.22,28.74,oil paint and charcoal,Musée National d'Art Moderne,Paris,France,3/3/1887,5/11/1927,Images\Breakfast.jpg
Franz Kline,C & O,1958,Abstract Expressionist,195.60,279.40,77.01,110.00,oil paint,National Gallery of Art,"Washington, D.C.",USA,5/23/1910,5/13/1962,Images\C & O.jpg
Vincent van Gogh,Café Terrace at Night,1888,Post-Impressionist,81.00,65.50,31.89,25.79,oil paint,Kröller-Müller Museum,Otterlo,Netherlands,3/30/1853,7/29/1890,Images\Cafe Terrace at Night.jpg
Robert Delaunay,Champs de Mars,1911,"Orphist, Cubist, Expressionist",160.70,128.60,63.27,50.63,oil paint,Art Institute of Chicago,"Chicago, IL",USA,4/12/1885,10/25/1941,Images\Champs de Mars.jpg
Andrew Wyeth,Christina's World,1948,Realist,81.90,121.30,32.24,47.76,tempera,Museum of Modern Art,"New York City, NY",USA,7/12/1917,1/16/2009,Images\Christina's World.jpg
Dong Qichang,Clear Weather in the Valley,1150,,37.50,150.80,14.76,59.37,ink and color,Museum of Fine Arts,"Boston, MA",USA,1555,1640,Images\Clear Weather in the Valley.jpg
Lucio Fontana,Concetto Spaziale,1957,Spatialist,48.30,68.00,19.02,26.77,gouache and graphite,Private Collection,,,2/19/1899,11/7/1968,Images\Concetto Spaziale.jpg
Matthias Grünewald,Crucifixion from the Isenheim Altarpiece,1515,German Renaissance,336.00,589.00,132.28,231.89,oil paint,Musée d'Unterlinden,Colmar,France,1470,8/31/1528,Images\Crucifixion from the Isenheim Altarpiece.jpg
Hannah Höch,Cut with the Kitchen Knife through the Beer-Belly of the Weimar Republic,1919,Dada,90.00,144.00,35.43,56.69,collage,Staatliche Museen,Berlin,Germany,11/1/1889,5/31/1978,Images\Cut with the Kitchen Knife through the Beer-Belly of the Weimar Republic.jpg
Hans Baldung Grien,Death and the Maiden,1517,Mannerist,30.30,14.70,11.93,5.79,varnished tempera,Kunstmuseum Basel,Basel,Switzerland,c. 1484,1545,Images\Death and the Maiden.jpg
Titian,Diana and Callisto,1559,High Renaissance,187.00,204.50,73.62,80.51,oil paint,National Gallery,"London, England",United Kingdom,1488,8/27/1576,Images\Diana and Callisto.jpg
Paul Nash,Landscape from a Dream,1938,Surrealist,67.90,101.60,26.73,40.00,oil paint,Hamburger Kunsthalle,Hamburg,Germany,5/11/1889,7/11/1946,Images\Landscape from a Dream.jpg
Joan Miró,Dutch Interior I,1928,"Surrealism, Dada",91.80,73.00,36.14,28.74,oil paint,Museum of Modern Art,"New York City, NY",USA,4/20/1893,12/25/1983,Images\Dutch Interior I.jpg
